repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
adanlessossi/bootql,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-autoconfigure-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml & com.graphql-java-kickstart+graphql-java-tools-filename:pom.xml & com.graphql-java-kickstart+graphiql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java-kickstart+graphql-spring-boot-autoconfigure-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-spring-boot-starter-webmvc-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,66,66,66
Adez90/GraphQL-Todo,com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle,master,0,0,590,590,590
adilkhn779/Customer-web-Service,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & io.leangen.graphql+graphql-spqr-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
adilkhn779/Order-_web_services,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & io.leangen.graphql+graphql-spqr-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
adilkhn779/Product_Web_Service,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & io.leangen.graphql+graphql-spqr-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
adilkhn779/Spring-boot-graphql-datafetcher,com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,0,14,14,14
adityachitre/gql,com.graphql-java-kickstart+graphiql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-test-extension:gradle & com.graphql-java-kickstart+voyager-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-extension:gradle,master,0,0,91,91,93
adobe/aem-cif-project-archetype,com.adobe.commerce.cif+graphql-client-filename:pom.xml & com.adobe.commerce.cif+magento-graphql-filename:pom.xml & com.adobe.commerce.cif+graphql-filename:pom.xml & com.adobe.commerce.cif+cif-connector-graphql-filename:pom.xml,master,1,0,1,1,16
adobe/aem-core-cif-components,com.adobe.commerce.cif+graphql-client-filename:pom.xml & com.adobe.commerce.cif+magento-graphql-filename:pom.xml & com.adobe.commerce.cif+graphql-filename:pom.xml,master,11,4,1,1,42
adobe/commerce-cif-api,com.adobe.commerce.cif+graphql-filename:pom.xml,master,19,8,6,86,358
