repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
anliwen/janusgraph-api,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,1,0,6,6,33
anowak-r7/graph,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & com.tinkerpop.gremlin+gremlin-java-filename:pom.xml,master,1,0,1117,1303,1303
AnsonLoveLina/graphServer,com.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & org.apache.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & org.apache.tinkerpop+gremlin-shaded-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,0,0,425,425,594
antonpious/GremlinServerSample,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,2,2,602,1246,1246
antvale/poc-configurations,org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop+tinkergraph-gremlin-extension:gradle & org.apache.tinkerpop+tinkergraph-gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,0,0,449,449,473
aofengli/janusgraph-java-example,com.tinkerpop+gremlin-server-filename:pom.xml & org.apache.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml,master,0,0,153,153,153
apache/atlas,com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,255,192,2,1,690
apache/giraph,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,trunk,517,271,7,26,2845
apache/incubator-atlas,org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,93,109,1,184,1497
apache/incubator-rya,org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,65,58,13,41,1345
apache/servicemix-bundles,org.apache.servicemix.bundles+org.apache.servicemix.bundles.gremlin-driver-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,33,67,2,2,1555
apache/tinkerpop,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & org.apache.tinkerpop+gremlin-archetype-server-filename:pom.xml & org.apache.tinkerpop+neo4j-gremlin-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-archetype-filename:pom.xml & com.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop+hadoop-gremlin-filename:pom.xml & org.apache.tinkerpop+sparql-gremlin-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & org.apache.tinkerpop+hadoop-gremlin-filename:pom.xml & org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop+neo4j-gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-archetype-tinkergraph-filename:pom.xml & com.tinkerpop+gremlin-console-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & org.apache.tinkerpop+gremlin-console-filename:pom.xml & org.apache.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-python-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+spark-gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & org.apache.tinkerpop+gremlin-shaded-filename:pom.xml & org.apache.tinkerpop+gremlin-archetype-dsl-filename:pom.xml & com.michaelpollmeier+tinkergraph-gremlin-filename:pom.xml & com.michaelpollmeier+gremlin-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,860,461,1,2,1586
apcj/build-analysis,org.apache.tinkerpop+gremlin-filename:build.xml & com.tinkerpop+gremlin-filename:build.xml & com.tinkerpop.gremlin+gremlin-filename:build.xml,master,1,0,2350,2765,2765
Apress/pro-hadoop-data-analytics,com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,9,6,504,807,880
ArangoDB-Community/arangodb-tinkerpop-provider,org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,51,13,17,2,2319
aranoah/him_data,org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,0,0,1262,1761,1961
ArcadeAnalytics/arcade-connectors,com.tinkerpop+gremlin-driver-filename:pom.xml & com.orientechnologies+orientdb-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.arcadeanalytics+arcade-connectors-gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,3,2,2,2,120
ArcadeAnalytics/arcadeanalytics,com.arcadeanalytics+arcade-connectors-gremlin-filename:pom.xml,master,58,16,1,1,120
archimedon/paikea,org.apache.tinkerpop+neo4j-gremlin-filename:pom.xml & com.tinkerpop+neo4j-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml,master,0,0,719,726,726
areadrom/titan,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-java-filename:pom.xml,master,1,0,806,807,807
arellanon/giraph,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,trunk,0,0,416,416,416
arisAlexis/revibes-server,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,9,0,56,1220,1221
arkady69/neo4j-gremlin-bolt-master,org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,0,0,625,603,625
arnulfo-rodriguez/addHocJavaAnalysis,org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-java-extension:gradle,master,0,0,1088,944,1088
aroundble/onap-sdc,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,1,0,141,447,447
arunramkrish/bt_graphdb,com.michaelpollmeier+orientdb-gremlin-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & com.michaelpollmeier+tinkergraph-gremlin-filename:pom.xml & com.michaelpollmeier+gremlin-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,0,1,1217,1003,1220
arvind-das/spring-tinkerpop3-cassandra,org.apache.tinkerpop+gremlin-driver-extension:gradle & org.apache.tinkerpop+gremlin-server-extension:gradle & org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-driver-extension:gradle & com.tinkerpop+gremlin-server-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,0,0,620,618,620
