repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
adibaba/Gutenberg,org.apache.jena+jena-filename:pom.xml,master,1,1,81,456,485
AdilLadadwah/ResRouter,org.apache.jena+jena-filename:pom.xml,master,0,0,315,315,315
AdilLadadwah/RR,org.apache.jena+jena-filename:pom.xml,master,0,0,315,315,345
aditya9999/jenaMvn1,org.apache.jena+jena-filename:pom.xml,master,1,0,1023,1022,1025
adityab/turbulence,org.apache.jena+jena-arq-filename:pom.xml,master,3,1,2017,2615,2682
adlnet/DECALS,org.apache.jena+jena-iri-filename:ivy.xml & org.apache.jena+jena-core-filename:ivy.xml & org.apache.jena+jena-arq-filename:ivy.xml & org.apache.jena+jena-filename:ivy.xml,master,7,8,205,1105,2010
admoss0/APR,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,0,0,1599,1431,1622
adperezmorales/gsoc-freebase-disambiguation-engine,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,4,0,1251,2093,2098
adperezmorales/gsoc-freebase-graph-importer,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,14,8,151,1954,2148
adperezmorales/gsoc-wikilinks,org.apache.jena+jena-filename:pom.xml,master,3,1,1176,2148,2148
adperezmorales/stanbol-camel-workflow,org.apache.stanbol+org.apache.stanbol-filename:pom.xml & org.apache.marmotta+marmotta-filename:pom.xml,master,6,0,1251,1775,1840
Adrian-Bielefeldt/wcd,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,310,263,343
adriannotimportant/wetprotocol,org.apache.jena+jena-filename:ivy.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,266,266,421
adrianoqueiroz/owls-api,org.apache.jena+jena-filename:pom.xml,master,1,0,250,1161,1161
adristoteles/ca-wilkinsonlab-CardioShare,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,0,0,1163,1160,1163
adristoteles/org.sadiframework,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,0,0,1155,1155,1156
adristoteles/org.sadiframework-NewJena,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,0,0,1155,742,1155
adristoteles/SADI-Core-Codebase-Jena3,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,1,92,92,93
adristoteles/SADI-SHARE-PHT-AccesssorsVersion,org.apache.jena+jena-core-filename:pom.xml & com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,2,86,7,91
adristoteles/share-ldf,org.apache.jena+jena-core-filename:pom.xml & com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,442,442,475
adristoteles/workinCopyMay,org.apache.jena+jena-core-filename:pom.xml & com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,742,742,742
adrq/collex-cdh,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,86,1216,1450
adslle/webrankagents,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,569,569,569
aercanunal/disco,org.apache.jena+jena-filename:pom.xml,master,0,0,1196,1105,1196
Aeronbroker/NECIoTKnowledge,org.apache.jena+jena-filename:pom.xml,master,0,0,590,590,1007
afel-project/entity-centric-api,org.apache.jena+jena-core-filename:pom.xml & org.apache.stanbol+org.apache.stanbol-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,867,588,1205
afel-project/Entity-Summarization,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,1070,1108,1108
afel-project/facebook-activity-to-rdf,org.apache.jena+jena-filename:pom.xml,master,0,0,868,865,868
afel-project/twitter-search-to-rdf,org.apache.jena+jena-filename:pom.xml,master,0,0,1001,1001,1001
afernbach/openKB4BMS,org.apache.jena+jena-filename:pom.xml,master,1,0,145,1204,1219
aff4/aff4-java,org.apache.jena+jena-filename:pom.xml,master,2,2,2,2,734
afs/AFS-Dev,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1497,539,2714
afs/BSBM,org.apache.jena+jena-filename:pom.xml,master,0,0,394,394,394
afs/BSBM-Local,org.apache.jena+jena-filename:pom.xml,master,3,3,606,391,3453
afs/commonsrdf-jena,org.apache.jena+jena-filename:pom.xml,master,1,1,82,82,1386
afs/dboe-quack,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,270,270,270
afs/http-digest-auth,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,6,2,338,1264,1314
afs/iri4ld,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-iri-filename:pom.xml,master,0,0,44,44,159
afs/jena-db-base,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,19,19,135
afs/jena-inf-engine,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,2,1,84,84,1338
afs/jena-reports,org.apache.jena+jena-csv-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-text-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1246,601,1524
afs/jena-workspace,org.apache.jena+jena-text-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,17,17,1447
